Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
59,0.00310,0.00437,0.00600,0.00734,0.00887,0.00982,0.01123,0.01279,0.01447,0.01688,0.02025,0.02349,0.02685,0.02994,0.03470
60,0.00323,0.00463,0.00661,0.00797,0.00971,0.01046,0.01189,0.01357,0.01532,0.01785,0.02128,0.02448,0.02797,0.03128,0.03671
61,0.00337,0.00489,0.00726,0.00864,0.01046,0.01159,0.01258,0.01438,0.01618,0.01882,0.02226,0.02539,0.02904,0.03261,0.03882
62,0.00350,0.00514,0.00797,0.00936,0.01159,0.01183,0.01329,0.01521,0.01705,0.01977,0.02318,0.02621,0.03006,0.03393,0.04103
63,0.00389,0.00577,0.00874,0.01048,0.01183,0.01329,0.01521,0.01705,0.02011,0.02242,0.02579,0.02887,0.03314,0.03775,0.04466
64,0.00432,0.00647,0.00957,0.01173,0.01329,0.01521,0.01705,0.02011,0.02242,0.02579,0.02869,0.03293,0.03655,0.04202,0.04860
65,0.00480,0.00726,0.01050,0.01313,0.01521,0.01705,0.02011,0.02242,0.02579,0.02869,0.03293,0.03512,0.04034,0.04675,0.05283
66,0.00532,0.00814,0.01151,0.01469,0.01705,0.02011,0.02242,0.02579,0.02869,0.03293,0.03469,0.03878,0.04451,0.05197,0.05768
67,0.00591,0.00912,0.01262,0.01642,0.02011,0.02242,0.02579,0.02869,0.03293,0.03447,0.03842,0.04280,0.04908,0.05768,0.06218
68,0.00651,0.01004,0.01389,0.01804,0.02204,0.02454,0.02823,0.03144,0.03447,0.03782,0.04214,0.04691,0.05373,0.06218,0.06777
69,0.00717,0.01105,0.01525,0.01976,0.02412,0.02687,0.03094,0.03447,0.03782,0.04149,0.04620,0.05136,0.05872,0.06777,0.07369
70,0.00789,0.01214,0.01672,0.02164,0.02641,0.02944,0.03392,0.03782,0.04149,0.04548,0.05057,0.05613,0.06400,0.07369,0.08022
71,0.00868,0.01333,0.01827,0.02377,0.02906,0.03255,0.03755,0.04179,0.04797,0.04993,0.05524,0.06757,0.08257,0.09936,0.11447
