Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
61,0.00266,0.00420,0.00561,0.00617,0.00731,0.00853,0.00980,0.01097,0.01182,0.01286,0.01505,0.01831,0.02314,0.02917,0.03621
62,0.00286,0.00458,0.00617,0.00731,0.00853,0.00980,0.01097,0.01182,0.01285,0.01440,0.01695,0.02073,0.02612,0.03285,0.04068
63,0.00307,0.00500,0.00673,0.00797,0.00928,0.01071,0.01182,0.01285,0.01421,0.01602,0.01899,0.02331,0.02927,0.03666,0.04526
64,0.00329,0.00546,0.00730,0.00865,0.01002,0.01160,0.01285,0.01417,0.01559,0.01776,0.02122,0.02614,0.03266,0.04068,0.05002
65,0.00352,0.00595,0.00789,0.00935,0.01079,0.01250,0.01417,0.01538,0.01717,0.01976,0.02376,0.02931,0.03639,0.04500,0.05508
66,0.00378,0.00642,0.00849,0.01011,0.01163,0.01343,0.01526,0.01685,0.01908,0.02217,0.02674,0.03290,0.04056,0.04976,0.06054
67,0.00408,0.00686,0.00909,0.01093,0.01259,0.01439,0.01633,0.01870,0.02150,0.02514,0.03027,0.03702,0.04527,0.05505,0.06652
68,0.00442,0.00727,0.00970,0.01183,0.01377,0.01573,0.01795,0.02117,0.02459,0.02879,0.03444,0.04171,0.05059,0.06095,0.07307
69,0.00480,0.00767,0.01032,0.01282,0.01521,0.01769,0.02049,0.02436,0.02836,0.03310,0.03923,0.04696,0.05648,0.06742,0.08018
70,0.00521,0.00806,0.01094,0.01388,0.01687,0.02012,0.02374,0.02816,0.03274,0.03804,0.04460,0.05275,0.06293,0.07444,0.08780

Table # ,2,,,,,,,,,,,,,,
Table Description:,1965-70 Modified Basic Table – Female. Basis: Age Nearest Birthday. Minimum Ultimate Age: 15. Maximum Ultimate Age: 99.,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,
