Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
46,0.00091,0.00126,0.00158,0.00186,0.00222,0.00253,0.00288,0.00328,0.00367,0.00411,0.00455,0.00501,0.00549,0.00632,0.00689
47,0.00096,0.00133,0.00168,0.00195,0.00234,0.00265,0.00306,0.00349,0.00394,0.00441,0.00490,0.00541,0.00594,0.00684,0.00746
48,0.00100,0.00139,0.00176,0.00204,0.00245,0.00282,0.00327,0.00376,0.00420,0.00470,0.00523,0.00577,0.00631,0.00725,0.00788
49,0.00105,0.00146,0.00183,0.00213,0.00258,0.00300,0.00350,0.00404,0.00448,0.00502,0.00557,0.00613,0.00670,0.00767,0.00830
50,0.00110,0.00153,0.00191,0.00224,0.00272,0.00320,0.00374,0.00435,0.00478,0.00534,0.00592,0.00650,0.00709,0.00809,0.00875
51,0.00115,0.00160,0.00201,0.00235,0.00286,0.00340,0.00400,0.00468,0.00509,0.00567,0.00628,0.00688,0.00749,0.00853,0.00921
52,0.00120,0.00168,0.00210,0.00247,0.00301,0.00361,0.00428,0.00503,0.00540,0.00601,0.00664,0.00727,0.00791,0.00900,0.00970
53,0.00126,0.00176,0.00222,0.00265,0.00323,0.00387,0.00457,0.00534,0.00577,0.00641,0.00705,0.00775,0.00847,0.00968,0.01050
54,0.00132,0.00185,0.00235,0.00284,0.00347,0.00415,0.00487,0.00565,0.00615,0.00681,0.00749,0.00826,0.00907,0.01043,0.01137
55,0.00138,0.00193,0.00248,0.00305,0.00372,0.00443,0.00518,0.00597,0.00655,0.00725,0.00796,0.00881,0.00972,0.01124,0.01233
56,0.00145,0.00202,0.00262,0.00327,0.00397,0.00472,0.00550,0.00629,0.00697,0.00771,0.00846,0.00940,0.01043,0.01213,0.01341
57,0.00151,0.00211,0.00276,0.00349,0.00424,0.00502,0.00582,0.00662,0.00742,0.00821,0.00900,0.01004,0.01120,0.01313,0.01465
58,0.00163,0.00229,0.00299,0.00376,0.00454,0.00534,0.00618,0.00703,0.00788,0.00871,0.00976,0.01086,0.01211,0.01418,0.01584
59,0.00175,0.00248,0.00324,0.00404,0.00485,0.00569,0.00657,0.00746,0.00836,0.00925,0.01060,0.01179,0.01314,0.01540,0.01721
60,0.00188,0.00268,0.00350,0.00434,0.00518,0.00606,0.00698,0.00793,0.00889,0.00983,0.01155,0.01285,0.01433,0.01680,0.01878
61,0.00201,0.00290,0.00377,0.00466,0.00554,0.00645,0.00742,0.00843,0.00945,0.01047,0.01264,0.01408,0.01570,0.01842,0.02059
62,0.00215,0.00312,0.00407,0.00501,0.00593,0.00688,0.00790,0.00897,0.01007,0.01119,0.01390,0.01550,0.01730,0.02028,0.02264
63,0.00227,0.00327,0.00426,0.00524,0.00621,0.00722,0.00830,0.00949,0.01075,0.01211,0.01504,0.01680,0.01879,0.02208,0.02473
64,0.00240,0.00343,0.00446,0.00548,0.00650,0.00757,0.00875,0.01007,0.01153,0.01317,0.01634,0.01828,0.02047,0.02409,0.02705
65,0.00253,0.00359,0.00466,0.00573,0.00680,0.00795,0.00924,0.01072,0.01243,0.01438,0.01783,0.01994,0.02234,0.02630,0.02955
66,0.00267,0.00376,0.00488,0.00599,0.00712,0.00837,0.00980,0.01147,0.01345,0.01578,0.01951,0.02181,0.02441,0.02869,0.03220
67,0.00282,0.00394,0.00510,0.00627,0.00748,0.00885,0.01043,0.01232,0.01461,0.01737,0.02140,0.02387,0.02664,0.03121,0.03498
68,0.00306,0.00428,0.00556,0.00687,0.00823,0.00979,0.01160,0.01376,0.01638,0.01953,0.02387,0.02664,0.02996,0.03498,0.03913
69,0.00333,0.00467,0.00609,0.00756,0.00911,0.01089,0.01295,0.01542,0.01841,0.02199,0.02664,0.02996,0.03361,0.03913,0.04362
70,0.00363,0.00511,0.00670,0.00836,0.01013,0.01216,0.01452,0.01734,0.02073,0.02477,0.02996,0.03361,0.03759,0.04362,0.04846
71,0.00398,0.00563,0.00740,0.00927,0.01127,0.01357,0.01622,0.01944,0.02326,0.02776,0.03406,0.04259,0.05266,0.06544,0.07876
72,0.00437,0.00623,0.00823,0.01038,0.01268,0.01533,0.01836,0.02200,0.02627,0.03125,0.03831,0.04768,0.05867,0.07257,0.08696
73,0.00482,0.00691,0.00918,0.01163,0.01425,0.01725,0.02067,0.02474,0.02948,0.03497,0.04276,0.05302,0.06500,0.08010,0.09563
74,0.00538,0.00774,0.01032,0.01309,0.01606,0.01944,0.02325,0.02776,0.03298,0.03899,0.04750,0.05870,0.07171,0.08806,0.10478
75,0.00602,0.00871,0.01163,0.01476,0.01810,0.02187,0.02609,0.03105,0.03676,0.04330,0.05256,0.06473,0.07881,0.09646,0.11443
76,0.00676,0.00979,0.01309,0.01662,0.02035,0.02454,0.02918,0.03461,0.04083,0.04793,0.05796,0.07113,0.08632,0.10532,0.12458
77,0.00756,0.01098,0.01470,0.01865,0.02281,0.02744,0.03253,0.03845,0.04520,0.05287,0.06370,0.07792,0.09727,0.11467,0.13525
78,0.00848,0.01232,0.01649,0.02089,0.02549,0.03058,0.03613,0.04256,0.04986,0.05812,0.06980,0.08510,0.10265,0.12450,0.14644
79,0.00955,0.01386,0.01850,0.02336,0.02842,0.03397,0.04000,0.04695,0.05482,0.06369,0.07623,0.09267,0.11144,0.13479,0.15813
80,0.01077,0.01557,0.02071,0.02607,0.03159,0.03761,0.04413,0.05162,0.06007,0.06956,0.08300,0.10061,0.12066,0.14556,0.17033
81,0.01210,0.01744,0.02311,0.02898,0.03498,0.04150,0.04852,0.05656,0.06561,0.07574,0.09012,0.10893,0.13029,0.15680,0.18305
82,0.01354,0.01945,0.02568,0.03209,0.03860,0.04563,0.05317,0.06178,0.07144,0.08223,0.09757,0.11763,0.14035,0.16850,0.19627
83,0.01509,0.02160,0.02843,0.03540,0.04244,0.05000,0.05807,0.06727,0.07756,0.08903,0.10536,0.12671,0.15083,0.18067,0.21000
84,0.01676,0.02392,0.03136,0.03892,0.04650,0.05461,0.06323,0.07304,0.08398,0.09614,0.11349,0.13617,0.16172,0.19331,0.22424
85,0.01856,0.02639,0.03448,0.04264,0.05078,0.05946,0.06865,0.07908,0.09068,0.10356,0.12197,0.14600,0.17304,0.20642,0.23900
86,0.02048,0.02901,0.03778,0.04658,0.05529,0.06456,0.07433,0.08539,0.09768,0.11129,0.13078,0.15622,0.18477,0.22000,0.25426
87,0.02251,0.03179,0.04127,0.05072,0.06003,0.06990,0.08026,0.09198,0.10497,0.11933,0.13993,0.16681,0.19693,0.23405,0.27003
88,0.03179,0.04127,0.05072,0.06003,0.06990,0.08026,0.09198,0.10497,0.11933,0.13993,0.16681,0.19693,0.23405,0.27003,0.30919
89,0.04127,0.05072,0.06003,0.06990,0.08026,0.09198,0.10497,0.11933,0.13993,0.16681,0.19693,0.23405,0.27003,0.30919,0.33002
90,0.05072,0.06003,0.06990,0.08026,0.09198,0.10497,0.11933,0.13993,0.16681,0.19693,0.23405,0.27003,0.30919,0.33002,0.35226
91,0.06003,0.06990,0.08026,0.09198,0.10497,0.11933,0.13993,0.16681,0.19693,0.23405,0.27003,0.30919,0.33002,0.35226,0.37600
92,0.06990,0.08026,0.09198,0.10497,0.11933,0.13993,0.16681,0.19693,0.23405,0.27003,0.30919,0.33002,0.35226,0.37600,0.40134
93,0.08026,0.09198,0.10497,0.11933,0.13993,0.16681,0.19693,0.23405,0.27003,0.30919,0.33002,0.35226,0.37600,0.40134,0.42838
94,0.09198,0.10497,0.11933,0.13993,0.16681,0.19693,0.23405,0.27003,0.30919,0.33002,0.35226,0.37600,0.40134,0.42838,0.45725
95,0.10497,0.11933,0.13993,0.16681,0.19693,0.23405,0.27003,0.30919,0.33002,0.35226,0.37600,0.40134,0.42838,0.45725,0.48806
96,0.11933,0.13993,0.16681,0.19693,0.23405,0.27003,0.30919,0.33002,0.35226,0.37600,0.40134,0.42838,0.45725,0.48806,0.52095
97,0.13993,0.16681,0.19693,0.23405,0.27003,0.30919,0.33002,0.35226,0.37600,0.40134,0.42838,0.45725,0.48806,0.52095,0.55605
98,0.16681,0.19693,0.23405,0.27003,0.30919,0.33002,0.35226,0.37600,0.40134,0.42838,0.45725,0.48806,0.52095,0.55605,0.59352
99,0.19693,0.23405,0.27003,0.30919,0.33002,0.35226,0.37600,0.40134,0.42838,0.45725,0.48806,0.52095,0.55605,0.59352,0.63351

Table # ,2,,,,,,,,,,,,,,
Table Description:,1975-80 Modified Basic Table with Milliman Extension and Society of Actuaries (SOA) Extension – Female. Basis: Age Nearest Birthday. Minimum Ultimate Age: 15. Maximum Ultimate Age: 120,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",15,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,
15,0.00036,,,,,,,,,,,,,,
16,0.00040,,,,,,,,,,,,,,
17,0.00044,,,,,,,,,,,,,,
18,0.00047,,,,,,,,,,,,,,
19,0.00049,,,,,,,,,,,,,,
